x,y,crash,Restaurants,ATMs,Bars,Bus Stops,Convenience Stores,Department Stores,Greengroceries,Hotels,Market Places,Metro Stations,School,Temples,Household,Intersections,Road length
121.528092,25.047494,1159,4,0,1,0,1,0,0,0,0,0,0,0,267,157,8982.832874
121.560075,25.00639,591,5,0,0,1,2,0,0,0,0,0,1,0,376,156,10110.85169
121.567089,25.061695,501,9,0,0,0,3,0,0,0,0,0,0,0,408,156,6519.732282
121.509283,25.054914,999,26,1,3,0,7,0,0,0,0,0,0,0,427,155,8343.790894
121.48203,25.138313,482,13,0,0,0,4,0,0,0,1,1,1,0,317,155,10095.24598
121.516971,25.073177,535,15,0,0,0,4,0,0,0,0,0,1,0,302,154,5257.297281
121.516575,25.087173,379,7,0,0,0,1,0,0,0,0,0,1,0,387,153,7500.242797
121.526531,25.036071,414,29,0,0,0,5,0,1,0,0,0,0,0,595,152,5205.93403
121.508256,25.116902,263,1,0,0,0,3,0,0,0,0,0,0,1,275,150,4035.954407
121.612229,25.07493,270,2,0,0,0,2,0,0,0,0,0,0,1,385,150,6683.384119
121.516213,25.055414,760,32,0,2,0,5,0,0,0,0,0,2,0,397,149,5036.759529
121.562243,25.059926,459,25,1,0,0,4,0,0,0,0,0,1,0,567,149,6008.101988
121.507462,25.080368,290,0,0,0,0,1,0,0,0,0,0,0,0,350,149,13795.28579
121.511937,25.085863,1017,0,0,0,0,2,0,0,0,0,0,0,1,200,148,7725.970436
121.551707,25.049938,263,13,2,0,1,4,0,0,0,0,0,1,0,291,147,6201.9506
121.538127,24.991176,1095,7,0,0,1,2,0,0,0,0,0,1,0,435,147,5873.278877
121.570485,24.998497,748,12,0,1,0,3,0,0,0,0,0,0,1,466,146,8244.988547
121.523951,25.028102,503,15,2,1,0,3,0,0,0,0,0,0,2,438,146,4059.841459
121.556091,25.035666,642,31,1,4,1,2,0,0,0,0,0,0,1,747,146,5804.965866
121.542048,24.99902,380,6,0,0,1,1,0,0,0,0,0,0,0,405,145,5604.055591
121.528742,25.113484,476,14,1,0,0,2,0,0,0,0,0,1,0,435,145,4927.256206
121.518216,25.025156,203,9,0,0,0,5,0,0,0,0,0,0,0,226,144,5210.928619
121.54967,25.006346,219,8,0,0,0,2,0,0,0,0,0,2,1,443,144,5922.022455
121.570898,25.017724,903,0,1,0,2,0,0,0,0,0,0,0,2,494,144,6480.687773
121.555876,25.03142,613,10,0,0,0,2,0,1,0,0,0,0,0,527,143,5180.956054
121.521993,25.021369,302,7,0,0,0,2,0,1,0,0,0,1,0,451,142,5854.221339
121.492176,25.021066,479,3,0,0,0,0,0,0,0,0,0,0,0,348,142,4502.752629
121.550932,25.054005,735,26,0,1,0,4,0,0,0,1,1,1,0,541,141,5414.942096
121.50928,25.140544,244,8,0,0,0,4,0,0,0,1,1,2,2,430,140,10156.9967
121.577111,25.096876,255,9,0,1,0,3,0,0,0,0,0,0,0,418,140,15380.14168
121.555984,24.978858,562,14,0,0,0,2,0,0,0,0,0,0,0,338,140,9962.859355
121.58241,25.04175,457,10,1,0,0,3,0,0,0,0,0,1,2,587,139,5631.898215
121.531455,25.107385,343,33,0,0,0,1,0,0,0,0,0,0,2,415,139,4299.061373
